time,open,high,low,close,volume
2024-03-19 00:15:00+00:00,1.08741,1.08745,1.08737,1.08739,346
2024-03-19 00:20:00+00:00,1.08739,1.08744,1.08732,1.08742,386
2024-03-19 00:25:00+00:00,1.08742,1.08743,1.08721,1.08722,343
2024-03-19 00:30:00+00:00,1.08722,1.08728,1.08701,1.08702,392
2024-03-19 00:35:00+00:00,1.08702,1.08724,1.08702,1.08706,416
2024-03-19 00:40:00+00:00,1.08706,1.08718,1.08699,1.08707,573
2024-03-19 00:45:00+00:00,1.08707,1.08709,1.08692,1.08698,479
2024-03-19 00:50:00+00:00,1.08698,1.08708,1.08695,1.08701,515
2024-03-19 00:55:00+00:00,1.08701,1.08707,1.08693,1.08693,394
2024-03-19 01:00:00+00:00,1.08693,1.08708,1.08691,1.08705,574
2024-03-19 01:05:00+00:00,1.08705,1.08717,1.08702,1.08702,429
2024-03-19 01:10:00+00:00,1.08702,1.08717,1.08696,1.08709,517
2024-03-19 01:15:00+00:00,1.08709,1.0871,1.08701,1.08703,463
2024-03-19 01:20:00+00:00,1.08703,1.08703,1.08674,1.08677,513
2024-03-19 01:25:00+00:00,1.08677,1.08682,1.08671,1.08676,487
2024-03-19 01:30:00+00:00,1.08676,1.08682,1.08667,1.08678,468
2024-03-19 01:35:00+00:00,1.08678,1.08696,1.08672,1.08695,693
2024-03-19 01:40:00+00:00,1.08695,1.08697,1.08682,1.08682,503
2024-03-19 01:45:00+00:00,1.08682,1.08687,1.08675,1.08681,331
2024-03-19 01:50:00+00:00,1.08681,1.08689,1.0868,1.08685,286
2024-03-19 01:55:00+00:00,1.08685,1.08685,1.08671,1.08682,461
2024-03-19 02:00:00+00:00,1.08682,1.08703,1.08682,1.087,331
2024-03-19 02:05:00+00:00,1.087,1.0871,1.08696,1.08702,311
2024-03-19 02:10:00+00:00,1.08702,1.08731,1.08701,1.0873,473
2024-03-19 02:15:00+00:00,1.0873,1.08731,1.0872,1.08724,603
2024-03-19 02:20:00+00:00,1.08724,1.08733,1.08721,1.08724,447
2024-03-19 02:25:00+00:00,1.08724,1.08734,1.08722,1.08732,477
2024-03-19 02:30:00+00:00,1.08732,1.08744,1.08729,1.0874,430
2024-03-19 02:35:00+00:00,1.0874,1.08747,1.08737,1.08738,344
2024-03-19 02:40:00+00:00,1.08738,1.08743,1.08733,1.08738,276
2024-03-19 02:45:00+00:00,1.08738,1.08741,1.08731,1.08732,331
2024-03-19 02:50:00+00:00,1.08732,1.08736,1.08726,1.08731,346
2024-03-19 02:55:00+00:00,1.08731,1.08743,1.08731,1.08734,333
2024-03-19 03:00:00+00:00,1.08734,1.08741,1.08729,1.08734,353
2024-03-19 03:05:00+00:00,1.08734,1.0875,1.08732,1.0875,319
2024-03-19 03:10:00+00:00,1.0875,1.08762,1.0875,1.08757,472
2024-03-19 03:15:00+00:00,1.08757,1.08764,1.08742,1.08742,496
2024-03-19 03:20:00+00:00,1.08742,1.08748,1.0874,1.08745,390
2024-03-19 03:25:00+00:00,1.08745,1.08754,1.08735,1.08752,335
2024-03-19 03:30:00+00:00,1.08752,1.08763,1.08737,1.08743,700
2024-03-19 03:35:00+00:00,1.08743,1.08761,1.08734,1.08749,2094
2024-03-19 03:40:00+00:00,1.08749,1.08752,1.08704,1.08733,1807
2024-03-19 03:45:00+00:00,1.08733,1.08734,1.0871,1.08714,1143
2024-03-19 03:50:00+00:00,1.08714,1.0873,1.087,1.08724,696
2024-03-19 03:55:00+00:00,1.08724,1.08748,1.08722,1.08739,835
2024-03-19 04:00:00+00:00,1.08739,1.08744,1.08729,1.0874,559
2024-03-19 04:05:00+00:00,1.0874,1.08763,1.08739,1.08753,712
2024-03-19 04:10:00+00:00,1.08753,1.08766,1.08747,1.08757,699
2024-03-19 04:15:00+00:00,1.08757,1.08765,1.08747,1.08754,307
2024-03-19 04:20:00+00:00,1.08754,1.08754,1.08728,1.0873,504
2024-03-19 04:25:00+00:00,1.0873,1.08733,1.08717,1.08724,411
2024-03-19 04:30:00+00:00,1.08724,1.08725,1.08697,1.08712,514
2024-03-19 04:35:00+00:00,1.08712,1.08713,1.08686,1.08694,435
2024-03-19 04:40:00+00:00,1.08694,1.08699,1.08674,1.08679,822
2024-03-19 04:45:00+00:00,1.08679,1.08693,1.08674,1.08689,422
2024-03-19 04:50:00+00:00,1.08689,1.087,1.08689,1.08695,369
2024-03-19 04:55:00+00:00,1.08695,1.08717,1.08694,1.08707,663
2024-03-19 05:00:00+00:00,1.08707,1.08721,1.08699,1.08699,702
2024-03-19 05:05:00+00:00,1.08699,1.08699,1.08678,1.08695,628
2024-03-19 05:10:00+00:00,1.08695,1.08697,1.08684,1.08684,517
2024-03-19 05:15:00+00:00,1.08684,1.08685,1.08668,1.08682,342
2024-03-19 05:20:00+00:00,1.08682,1.08683,1.08663,1.08664,377
2024-03-19 05:25:00+00:00,1.08664,1.08665,1.08655,1.08663,286
2024-03-19 05:30:00+00:00,1.08663,1.08665,1.08652,1.08656,591
2024-03-19 05:35:00+00:00,1.08656,1.08663,1.08648,1.08649,525
2024-03-19 05:40:00+00:00,1.08649,1.0866,1.08648,1.08659,480
2024-03-19 05:45:00+00:00,1.08659,1.08663,1.0864,1.08642,504
2024-03-19 05:50:00+00:00,1.08642,1.08644,1.08627,1.08629,477
2024-03-19 05:55:00+00:00,1.08629,1.08647,1.08629,1.08642,543
2024-03-19 06:00:00+00:00,1.08642,1.08652,1.08621,1.08625,664
2024-03-19 06:05:00+00:00,1.08625,1.0864,1.08619,1.0864,572
2024-03-19 06:10:00+00:00,1.0864,1.08654,1.08636,1.0864,392
2024-03-19 06:15:00+00:00,1.0864,1.08661,1.08636,1.08655,516
2024-03-19 06:20:00+00:00,1.08655,1.08676,1.08649,1.08674,519
2024-03-19 06:25:00+00:00,1.08674,1.08676,1.08662,1.08674,458
2024-03-19 06:30:00+00:00,1.08674,1.08685,1.08667,1.08671,580
2024-03-19 06:35:00+00:00,1.08671,1.08683,1.08658,1.08658,1026
2024-03-19 06:40:00+00:00,1.08658,1.08665,1.0864,1.08646,734
2024-03-19 06:45:00+00:00,1.08646,1.08666,1.0863,1.08658,1094
2024-03-19 06:50:00+00:00,1.08658,1.08663,1.08647,1.0866,769
2024-03-19 06:55:00+00:00,1.0866,1.08677,1.08659,1.08675,765
2024-03-19 07:00:00+00:00,1.08675,1.08675,1.08641,1.08652,775
2024-03-19 07:05:00+00:00,1.08652,1.08663,1.08628,1.08631,723
2024-03-19 07:10:00+00:00,1.08631,1.08638,1.08616,1.08638,728
2024-03-19 07:15:00+00:00,1.08638,1.08657,1.08636,1.08654,618
2024-03-19 07:20:00+00:00,1.08654,1.08666,1.08641,1.08646,745
2024-03-19 07:25:00+00:00,1.08646,1.08648,1.08626,1.08632,944
2024-03-19 07:30:00+00:00,1.08632,1.08639,1.08619,1.08623,672
2024-03-19 07:35:00+00:00,1.08623,1.08637,1.08612,1.08615,573
2024-03-19 07:40:00+00:00,1.08615,1.08621,1.08604,1.0861,592
2024-03-19 07:45:00+00:00,1.0861,1.08612,1.0858,1.08591,630
2024-03-19 07:50:00+00:00,1.08591,1.08591,1.08539,1.08548,999
2024-03-19 07:55:00+00:00,1.08548,1.08549,1.08516,1.08547,713
2024-03-19 08:00:00+00:00,1.08547,1.08561,1.08518,1.08518,1221
2024-03-19 08:05:00+00:00,1.08518,1.08536,1.08507,1.08536,842
2024-03-19 08:10:00+00:00,1.08536,1.08536,1.08501,1.08508,921
2024-03-19 08:15:00+00:00,1.08508,1.08509,1.08456,1.08465,1001
2024-03-19 08:20:00+00:00,1.08465,1.08478,1.08459,1.08475,1061
2024-03-19 08:25:00+00:00,1.08475,1.08504,1.08467,1.08502,796
2024-03-19 08:30:00+00:00,1.08502,1.08513,1.08464,1.08464,806
2024-03-19 08:35:00+00:00,1.08464,1.08469,1.08423,1.08443,843
2024-03-19 08:40:00+00:00,1.08443,1.08453,1.08432,1.08433,749
2024-03-19 08:45:00+00:00,1.08433,1.08482,1.08431,1.08458,1302
2024-03-19 08:50:00+00:00,1.08458,1.08495,1.08458,1.08474,770
2024-03-19 08:55:00+00:00,1.08474,1.08477,1.08445,1.08474,1178
2024-03-19 09:00:00+00:00,1.08474,1.08501,1.08473,1.0848,954
2024-03-19 09:05:00+00:00,1.0848,1.08487,1.08469,1.08471,816
2024-03-19 09:10:00+00:00,1.08471,1.08475,1.08448,1.08469,792
2024-03-19 09:15:00+00:00,1.08469,1.08482,1.08461,1.08467,607
2024-03-19 09:20:00+00:00,1.08467,1.08491,1.08466,1.08472,659
2024-03-19 09:25:00+00:00,1.08472,1.08478,1.08438,1.08444,972
2024-03-19 09:30:00+00:00,1.08444,1.08457,1.08437,1.08444,565
2024-03-19 09:35:00+00:00,1.08444,1.08462,1.08442,1.08459,548
2024-03-19 09:40:00+00:00,1.08459,1.08462,1.08415,1.0843,947
2024-03-19 09:45:00+00:00,1.0843,1.08433,1.0837,1.08376,1224
2024-03-19 09:50:00+00:00,1.08376,1.08381,1.08361,1.08372,1033
2024-03-19 09:55:00+00:00,1.08372,1.08372,1.08346,1.08366,600
2024-03-19 10:00:00+00:00,1.08366,1.0844,1.08366,1.08409,1594
2024-03-19 10:05:00+00:00,1.08409,1.08417,1.08396,1.08401,816
2024-03-19 10:10:00+00:00,1.08401,1.08423,1.0839,1.0842,895
2024-03-19 10:15:00+00:00,1.0842,1.0843,1.08403,1.08403,707
2024-03-19 10:20:00+00:00,1.08403,1.08438,1.08394,1.08432,698
2024-03-19 10:25:00+00:00,1.08432,1.08437,1.08415,1.08417,724
2024-03-19 10:30:00+00:00,1.08417,1.08442,1.08417,1.08419,717
2024-03-19 10:35:00+00:00,1.08419,1.08438,1.08414,1.08432,783
2024-03-19 10:40:00+00:00,1.08432,1.08456,1.08422,1.08449,795
2024-03-19 10:45:00+00:00,1.08449,1.08458,1.08441,1.08442,487
2024-03-19 10:50:00+00:00,1.08442,1.08445,1.08428,1.08437,545
2024-03-19 10:55:00+00:00,1.08437,1.08445,1.08427,1.08443,436
2024-03-19 11:00:00+00:00,1.08443,1.0845,1.08427,1.08447,612
2024-03-19 11:05:00+00:00,1.08447,1.08468,1.08445,1.08465,451
2024-03-19 11:10:00+00:00,1.08465,1.08466,1.08448,1.08451,415
2024-03-19 11:15:00+00:00,1.08451,1.08476,1.08449,1.08468,583
2024-03-19 11:20:00+00:00,1.08468,1.08478,1.08463,1.08473,410
2024-03-19 11:25:00+00:00,1.08473,1.08481,1.08452,1.08458,576
2024-03-19 11:30:00+00:00,1.08458,1.0847,1.08452,1.08468,639
2024-03-19 11:35:00+00:00,1.08468,1.08489,1.08465,1.08482,586
2024-03-19 11:40:00+00:00,1.08482,1.08497,1.08474,1.08495,427
2024-03-19 11:45:00+00:00,1.08495,1.08516,1.08494,1.08509,469
2024-03-19 11:50:00+00:00,1.08509,1.08512,1.08477,1.0848,416
2024-03-19 11:55:00+00:00,1.0848,1.08505,1.0848,1.08502,463
2024-03-19 12:00:00+00:00,1.08502,1.08516,1.08487,1.08489,1011
2024-03-19 12:05:00+00:00,1.08489,1.08507,1.08486,1.08505,922
2024-03-19 12:10:00+00:00,1.08505,1.08517,1.08503,1.08508,792
2024-03-19 12:15:00+00:00,1.08508,1.08511,1.08485,1.08486,915
2024-03-19 12:20:00+00:00,1.08486,1.08498,1.08468,1.0847,1513
2024-03-19 12:25:00+00:00,1.0847,1.08478,1.08456,1.08476,824
2024-03-19 12:30:00+00:00,1.08476,1.08517,1.08468,1.08516,1792
2024-03-19 12:35:00+00:00,1.08516,1.08542,1.08509,1.08534,1205
2024-03-19 12:40:00+00:00,1.08534,1.08555,1.08523,1.08552,1527
2024-03-19 12:45:00+00:00,1.08552,1.0856,1.08534,1.0854,887
